,BLOCKGROUP,place_ids,origin,destinations
0,530330001001,"Seattle-Central-College,North-Seattle-College,South-Seattle-College,King-Street-Station,Westlake-Center,Northgate-Transit-Center,Bellevue-Square,SODO,Downtown-Pioneer-Square,Downtown-Commercial-Core,University-of-Washington,First-Hill,South-Lake-Union,Magnusan-Park,ChIJleRyG3sRkFQR-gcRDp5LqHQ,ChIJtXDFJnsRkFQR_g_vXyHNovI,ChIJhWb17mQRkFQRNqp3mBpKXrQ,ChIJEerXpl0RkFQRDOjfwBQDzlA,ChIJi_xMRXoRkFQRhfEsI71aRq8,ChIJFaqJJXsRkFQRlubp4YON1As,ChIJ81gcMXgRkFQRiMPiU__3DzE,ChIJY-J_5m4RkFQRdwscQFJdNUQ,ChIJUdEh3m4RkFQRrkmn5QGJpXE,ChIJj_FFZtRkCEERwclskRbTlO0","47.72683,-122.28469","47.616587,-122.321611|47.699252,-122.33352|47.54841,-122.352194|47.598939,-122.329158|47.611603,-122.33691|47.702358000000004,-122.32721000000001|47.615522999999996,-122.199049|47.583574,-122.333555|47.601651000000004,-122.334226|47.608001,-122.334658|47.655614,-122.30521100000001|47.609421999999995,-122.32512|47.622933,-122.33710500000001|47.680326,-122.253198|47.7214321,-122.2937233|47.721644899999994,-122.2952533|47.719716,-122.29811299999999|47.7160344,-122.31222959999998|47.7239671,-122.2921396|47.720884399999996,-122.295249|47.7258312,-122.28748|47.725914,-122.28710259999998|47.7238444,-122.3067307|47.7295543,-122.29279450000001"
1,530330001002,"Seattle-Central-College,North-Seattle-College,South-Seattle-College,King-Street-Station,Westlake-Center,Northgate-Transit-Center,Bellevue-Square,SODO,Downtown-Pioneer-Square,Downtown-Commercial-Core,University-of-Washington,First-Hill,South-Lake-Union,Magnusan-Park,ChIJleRyG3sRkFQR-gcRDp5LqHQ,ChIJtXDFJnsRkFQR_g_vXyHNovI,ChIJhWb17mQRkFQRNqp3mBpKXrQ,ChIJEerXpl0RkFQRDOjfwBQDzlA,ChIJKXaRMp4RkFQRr9i6RGtJ8Uo,ChIJFaqJJXsRkFQRlubp4YON1As,ChIJ81gcMXgRkFQRiMPiU__3DzE,ChIJY-J_5m4RkFQRdwscQFJdNUQ,ChIJUdEh3m4RkFQRrkmn5QGJpXE,ChIJj_FFZtRkCEERwclskRbTlO0","47.72932,-122.29247","47.616587,-122.321611|47.699252,-122.33352|47.54841,-122.352194|47.598939,-122.329158|47.611603,-122.33691|47.702358000000004,-122.32721000000001|47.615522999999996,-122.199049|47.583574,-122.333555|47.601651000000004,-122.334226|47.608001,-122.334658|47.655614,-122.30521100000001|47.609421999999995,-122.32512|47.622933,-122.33710500000001|47.680326,-122.253198|47.7214321,-122.2937233|47.721644899999994,-122.2952533|47.719716,-122.29811299999999|47.7160344,-122.31222959999998|47.7335004,-122.29199140000001|47.720884399999996,-122.295249|47.7258312,-122.28748|47.725914,-122.28710259999998|47.7238444,-122.3067307|47.7295543,-122.29279450000001"
2,530330001003,"Seattle-Central-College,North-Seattle-College,South-Seattle-College,King-Street-Station,Westlake-Center,Northgate-Transit-Center,Bellevue-Square,SODO,Downtown-Pioneer-Square,Downtown-Commercial-Core,University-of-Washington,First-Hill,South-Lake-Union,Magnusan-Park,ChIJleRyG3sRkFQR-gcRDp5LqHQ,ChIJtXDFJnsRkFQR_g_vXyHNovI,ChIJhWb17mQRkFQRNqp3mBpKXrQ,ChIJEerXpl0RkFQRDOjfwBQDzlA,ChIJi_xMRXoRkFQRhfEsI71aRq8,ChIJFaqJJXsRkFQRlubp4YON1As,ChIJ81gcMXgRkFQRiMPiU__3DzE,ChIJY-J_5m4RkFQRdwscQFJdNUQ,ChIJUdEh3m4RkFQRrkmn5QGJpXE,ChIJ17BqS3sRkFQR31AY2_7b1Vg","47.72281,-122.28945","47.616587,-122.321611|47.699252,-122.33352|47.54841,-122.352194|47.598939,-122.329158|47.611603,-122.33691|47.702358000000004,-122.32721000000001|47.615522999999996,-122.199049|47.583574,-122.333555|47.601651000000004,-122.334226|47.608001,-122.334658|47.655614,-122.30521100000001|47.609421999999995,-122.32512|47.622933,-122.33710500000001|47.680326,-122.253198|47.7214321,-122.2937233|47.721644899999994,-122.2952533|47.719716,-122.29811299999999|47.7160344,-122.31222959999998|47.7239671,-122.2921396|47.720884399999996,-122.295249|47.7258312,-122.28748|47.725914,-122.28710259999998|47.7238444,-122.3067307|47.719859,-122.295224"
3,530330001004,"Seattle-Central-College,North-Seattle-College,South-Seattle-College,King-Street-Station,Westlake-Center,Northgate-Transit-Center,Bellevue-Square,SODO,Downtown-Pioneer-Square,Downtown-Commercial-Core,University-of-Washington,First-Hill,South-Lake-Union,Magnusan-Park,ChIJleRyG3sRkFQR-gcRDp5LqHQ,ChIJtXDFJnsRkFQR_g_vXyHNovI,ChIJhWb17mQRkFQRNqp3mBpKXrQ,ChIJEerXpl0RkFQRDOjfwBQDzlA,ChIJKXaRMp4RkFQRr9i6RGtJ8Uo,ChIJFaqJJXsRkFQRlubp4YON1As,ChIJ81gcMXgRkFQRiMPiU__3DzE,ChIJY-J_5m4RkFQRdwscQFJdNUQ,ChIJUdEh3m4RkFQRrkmn5QGJpXE,ChIJ-eZCL54RkFQR9CqVqUgRhOE","47.73194,-122.29445","47.616587,-122.321611|47.699252,-122.33352|47.54841,-122.352194|47.598939,-122.329158|47.611603,-122.33691|47.702358000000004,-122.32721000000001|47.615522999999996,-122.199049|47.583574,-122.333555|47.601651000000004,-122.334226|47.608001,-122.334658|47.655614,-122.30521100000001|47.609421999999995,-122.32512|47.622933,-122.33710500000001|47.680326,-122.253198|47.7214321,-122.2937233|47.721644899999994,-122.2952533|47.719716,-122.29811299999999|47.7160344,-122.31222959999998|47.7335004,-122.29199140000001|47.720884399999996,-122.295249|47.7258312,-122.28748|47.725914,-122.28710259999998|47.7238444,-122.3067307|47.732949700000006,-122.2919115"
4,530330001005,"Seattle-Central-College,North-Seattle-College,South-Seattle-College,King-Street-Station,Westlake-Center,Northgate-Transit-Center,Bellevue-Square,SODO,Downtown-Pioneer-Square,Downtown-Commercial-Core,University-of-Washington,First-Hill,South-Lake-Union,Magnusan-Park,ChIJleRyG3sRkFQR-gcRDp5LqHQ,ChIJtXDFJnsRkFQR_g_vXyHNovI,ChIJhWb17mQRkFQRNqp3mBpKXrQ,ChIJEerXpl0RkFQRDOjfwBQDzlA,ChIJi_xMRXoRkFQRhfEsI71aRq8,ChIJFaqJJXsRkFQRlubp4YON1As,ChIJ81gcMXgRkFQRiMPiU__3DzE,ChIJY-J_5m4RkFQRdwscQFJdNUQ,ChIJUdEh3m4RkFQRrkmn5QGJpXE,ChIJ17BqS3sRkFQR31AY2_7b1Vg","47.72293,-122.29444","47.616587,-122.321611|47.699252,-122.33352|47.54841,-122.352194|47.598939,-122.329158|47.611603,-122.33691|47.702358000000004,-122.32721000000001|47.615522999999996,-122.199049|47.583574,-122.333555|47.601651000000004,-122.334226|47.608001,-122.334658|47.655614,-122.30521100000001|47.609421999999995,-122.32512|47.622933,-122.33710500000001|47.680326,-122.253198|47.7214321,-122.2937233|47.721644899999994,-122.2952533|47.719716,-122.29811299999999|47.7160344,-122.31222959999998|47.7239671,-122.2921396|47.720884399999996,-122.295249|47.7258312,-122.28748|47.725914,-122.28710259999998|47.7238444,-122.3067307|47.719859,-122.295224"
5,530330002001,"Seattle-Central-College,North-Seattle-College,South-Seattle-College,King-Street-Station,Westlake-Center,Northgate-Transit-Center,Bellevue-Square,SODO,Downtown-Pioneer-Square,Downtown-Commercial-Core,University-of-Washington,First-Hill,South-Lake-Union,Magnusan-Park,ChIJleRyG3sRkFQR-gcRDp5LqHQ,ChIJtXDFJnsRkFQR_g_vXyHNovI,ChIJhWb17mQRkFQRNqp3mBpKXrQ,ChIJEerXpl0RkFQRDOjfwBQDzlA,ChIJKXaRMp4RkFQRr9i6RGtJ8Uo,ChIJFaqJJXsRkFQRlubp4YON1As,ChIJ81gcMXgRkFQRiMPiU__3DzE,ChIJY-J_5m4RkFQRdwscQFJdNUQ,ChIJUdEh3m4RkFQRrkmn5QGJpXE,ChIJj_FFZtRkCEERwclskRbTlO0","47.72909,-122.29892","47.616587,-122.321611|47.699252,-122.33352|47.54841,-122.352194|47.598939,-122.329158|47.611603,-122.33691|47.702358000000004,-122.32721000000001|47.615522999999996,-122.199049|47.583574,-122.333555|47.601651000000004,-122.334226|47.608001,-122.334658|47.655614,-122.30521100000001|47.609421999999995,-122.32512|47.622933,-122.33710500000001|47.680326,-122.253198|47.7214321,-122.2937233|47.721644899999994,-122.2952533|47.719716,-122.29811299999999|47.7160344,-122.31222959999998|47.7335004,-122.29199140000001|47.720884399999996,-122.295249|47.7258312,-122.28748|47.725914,-122.28710259999998|47.7238444,-122.3067307|47.7295543,-122.29279450000001"
6,530330002002,"Seattle-Central-College,North-Seattle-College,South-Seattle-College,King-Street-Station,Westlake-Center,Northgate-Transit-Center,Bellevue-Square,SODO,Downtown-Pioneer-Square,Downtown-Commercial-Core,University-of-Washington,First-Hill,South-Lake-Union,Carkeek-Park,ChIJleRyG3sRkFQR-gcRDp5LqHQ,ChIJtXDFJnsRkFQR_g_vXyHNovI,ChIJhWb17mQRkFQRNqp3mBpKXrQ,ChIJEerXpl0RkFQRDOjfwBQDzlA,ChIJ8fdfu2QRkFQRvoCQ1-nxHo0,ChIJFaqJJXsRkFQRlubp4YON1As,ChIJ81gcMXgRkFQRiMPiU__3DzE,ChIJY-J_5m4RkFQRdwscQFJdNUQ,ChIJUdEh3m4RkFQRrkmn5QGJpXE,ChIJ17BqS3sRkFQR31AY2_7b1Vg","47.72179000000001,-122.30283","47.616587,-122.321611|47.699252,-122.33352|47.54841,-122.352194|47.598939,-122.329158|47.611603,-122.33691|47.702358000000004,-122.32721000000001|47.615522999999996,-122.199049|47.583574,-122.333555|47.601651000000004,-122.334226|47.608001,-122.334658|47.655614,-122.30521100000001|47.609421999999995,-122.32512|47.622933,-122.33710500000001|47.711609,-122.37221699999999|47.7214321,-122.2937233|47.721644899999994,-122.2952533|47.719716,-122.29811299999999|47.7160344,-122.31222959999998|47.71952720000001,-122.295845|47.720884399999996,-122.295249|47.7258312,-122.28748|47.725914,-122.28710259999998|47.7238444,-122.3067307|47.719859,-122.295224"
7,530330002003,"Seattle-Central-College,North-Seattle-College,South-Seattle-College,King-Street-Station,Westlake-Center,Northgate-Transit-Center,Bellevue-Square,SODO,Downtown-Pioneer-Square,Downtown-Commercial-Core,University-of-Washington,First-Hill,South-Lake-Union,Carkeek-Park,ChIJleRyG3sRkFQR-gcRDp5LqHQ,ChIJtXDFJnsRkFQR_g_vXyHNovI,ChIJhWb17mQRkFQRNqp3mBpKXrQ,ChIJEerXpl0RkFQRDOjfwBQDzlA,ChIJI1-qjQ0RkFQRYRXAce0S9rY,ChIJXxSRb1cRkFQRjJMvv-6HMIU,ChIJtR_yNT4RkFQRYxhsl1QWDcY,ChIJaSw6wk8RkFQRHJmcwVk-pNE,ChIJUdEh3m4RkFQRrkmn5QGJpXE,ChIJge-EcxIRkFQRlVWz2JrCa5U","47.72793,-122.31903","47.616587,-122.321611|47.699252,-122.33352|47.54841,-122.352194|47.598939,-122.329158|47.611603,-122.33691|47.702358000000004,-122.32721000000001|47.615522999999996,-122.199049|47.583574,-122.333555|47.601651000000004,-122.334226|47.608001,-122.334658|47.655614,-122.30521100000001|47.609421999999995,-122.32512|47.622933,-122.33710500000001|47.711609,-122.37221699999999|47.7214321,-122.2937233|47.721644899999994,-122.2952533|47.719716,-122.29811299999999|47.7160344,-122.31222959999998|47.73321170000001,-122.3104852|47.709969799999996,-122.31958999999999|47.727678999999995,-122.3275134|47.714716700000004,-122.32933700000001|47.7238444,-122.3067307|47.7335788,-122.3131446"
8,530330002004,"Seattle-Central-College,North-Seattle-College,South-Seattle-College,King-Street-Station,Westlake-Center,Northgate-Transit-Center,Bellevue-Square,SODO,Downtown-Pioneer-Square,Downtown-Commercial-Core,University-of-Washington,First-Hill,South-Lake-Union,Carkeek-Park,ChIJleRyG3sRkFQR-gcRDp5LqHQ,ChIJtXDFJnsRkFQR_g_vXyHNovI,ChIJhWb17mQRkFQRNqp3mBpKXrQ,ChIJEerXpl0RkFQRDOjfwBQDzlA,ChIJI1-qjQ0RkFQRYRXAce0S9rY,ChIJFaqJJXsRkFQRlubp4YON1As,ChIJ81gcMXgRkFQRiMPiU__3DzE,ChIJY-J_5m4RkFQRdwscQFJdNUQ,ChIJUdEh3m4RkFQRrkmn5QGJpXE,ChIJ-5qZjA0RkFQRIz-oC4eGFak","47.72866,-122.31018","47.616587,-122.321611|47.699252,-122.33352|47.54841,-122.352194|47.598939,-122.329158|47.611603,-122.33691|47.702358000000004,-122.32721000000001|47.615522999999996,-122.199049|47.583574,-122.333555|47.601651000000004,-122.334226|47.608001,-122.334658|47.655614,-122.30521100000001|47.609421999999995,-122.32512|47.622933,-122.33710500000001|47.711609,-122.37221699999999|47.7214321,-122.2937233|47.721644899999994,-122.2952533|47.719716,-122.29811299999999|47.7160344,-122.31222959999998|47.73321170000001,-122.3104852|47.720884399999996,-122.295249|47.7258312,-122.28748|47.725914,-122.28710259999998|47.7238444,-122.3067307|47.7332003,-122.31047379999998"
9,530330002005,"Seattle-Central-College,North-Seattle-College,South-Seattle-College,King-Street-Station,Westlake-Center,Northgate-Transit-Center,Bellevue-Square,SODO,Downtown-Pioneer-Square,Downtown-Commercial-Core,University-of-Washington,First-Hill,South-Lake-Union,Carkeek-Park,ChIJleRyG3sRkFQR-gcRDp5LqHQ,ChIJtXDFJnsRkFQR_g_vXyHNovI,ChIJhWb17mQRkFQRNqp3mBpKXrQ,ChIJEerXpl0RkFQRDOjfwBQDzlA,ChIJZ7YkV10RkFQRo6C98ks5bqU,ChIJFaqJJXsRkFQRlubp4YON1As,ChIJtR_yNT4RkFQRYxhsl1QWDcY,ChIJUdEh3m4RkFQRrkmn5QGJpXE,ChIJqwoMg1YRkFQRXOeuFlhRt7E,ChIJWQ5fVl0RkFQRcn84u1V7sFw","47.72274,-122.31391","47.616587,-122.321611|47.699252,-122.33352|47.54841,-122.352194|47.598939,-122.329158|47.611603,-122.33691|47.702358000000004,-122.32721000000001|47.615522999999996,-122.199049|47.583574,-122.333555|47.601651000000004,-122.334226|47.608001,-122.334658|47.655614,-122.30521100000001|47.609421999999995,-122.32512|47.622933,-122.33710500000001|47.711609,-122.37221699999999|47.7214321,-122.2937233|47.721644899999994,-122.2952533|47.719716,-122.29811299999999|47.7160344,-122.31222959999998|47.71798010000001,-122.31193629999999|47.720884399999996,-122.295249|47.727678999999995,-122.3275134|47.7238444,-122.3067307|47.7061951,-122.32484040000001|47.7184244,-122.31251340000001"
